transaction_id,customer_id,amount,payment_method,customer_segment,transaction_hour,days_since_last_payment,previous_failures,retry_count,checkout_duration,device_type,location_type,payment_gateway,failure_reason,subscription_status,invoice_age_days,amount_due,payment_status,revenue_at_risk
txn_ef02b1be55b342,cust_2824,1299.29,upi,loyal,7,35,1,1,568,mobile,domestic,razorpay,expired_card,active,1,1423.29,failed,0
txn_94a324c5c2e848,cust_9928,21005.02,net_banking,churn_risk,8,1,1,0,173,tablet,domestic,razorpay,None,inactive,9,21389.13,success,0
txn_7132d4655f7b42,cust_7224,4880.98,upi,churn_risk,8,11,1,2,559,mobile,international,razorpay,expired_card,inactive,5,4880.98,abandoned,1
txn_3f13e2c402664b,cust_2139,2338.93,debit_card,returning,2,59,2,0,399,desktop,domestic,razorpay,None,inactive,10,2338.93,success,0
txn_c7a7a803dc054b,cust_5374,35105.92,credit_card,churn_risk,20,43,0,1,260,mobile,domestic,razorpay,network_error,inactive,59,35105.92,failed,1
txn_14cc4654932546,cust_1525,40262.04,net_banking,returning,2,54,3,1,590,tablet,domestic,razorpay,authentication_failed,none,31,40262.04,overdue,1
txn_9776bb1326c94a,cust_5040,37262.2,wallet,returning,23,149,0,1,418,desktop,domestic,razorpay,insufficient_funds,active,32,37262.2,failed,0
txn_062d69c5f2f24c,cust_7916,29840.63,net_banking,high_value,19,119,0,1,576,mobile,domestic,razorpay,network_error,active,43,29840.63,failed,1
txn_d498779012b345,cust_3591,22713.5,upi,churn_risk,5,129,3,0,315,tablet,domestic,razorpay,None,active,9,22713.5,success,0
txn_d21abea47acc49,cust_9689,45928.75,wallet,returning,15,4,0,0,381,desktop,domestic,razorpay,None,active,56,45928.75,success,0
txn_a26820d3f2a94b,cust_8962,40810.36,wallet,loyal,4,168,0,3,572,mobile,domestic,razorpay,bank_declined,none,27,40810.36,abandoned,1
txn_eccc93341e8743,cust_7118,21933.1,wallet,high_value,3,63,0,1,356,mobile,domestic,razorpay,bank_declined,active,37,21977.89,failed,0
txn_aecd5b680e0e44,cust_6413,3589.32,debit_card,returning,21,124,0,1,145,tablet,international,razorpay,authentication_failed,none,36,3589.32,failed,1
txn_8d5428f399604b,cust_8062,17747.16,net_banking,high_value,23,13,1,0,110,mobile,domestic,razorpay,None,inactive,51,17747.16,success,0
txn_04bc67eae64643,cust_4116,26837.47,debit_card,high_value,5,71,0,0,87,desktop,domestic,razorpay,None,none,6,27337.12,pending,0
txn_30514a2c873040,cust_2528,46322.03,debit_card,loyal,13,124,0,0,420,mobile,domestic,razorpay,None,active,24,46716.22,success,0
txn_976d8fb3e6e544,cust_7930,34844.75,wallet,high_value,4,48,0,0,69,tablet,domestic,razorpay,None,active,47,34844.75,success,0
txn_e75d968ee97b4d,cust_8811,25167.38,wallet,loyal,1,130,0,3,200,mobile,domestic,razorpay,bank_declined,none,55,25236.12,abandoned,1
txn_2a5c501602e244,cust_2343,20990.28,wallet,churn_risk,16,80,3,2,219,tablet,domestic,razorpay,network_error,active,16,20990.28,failed,1
txn_4deb76878d034f,cust_2188,515.31,wallet,churn_risk,3,18,0,0,528,desktop,domestic,razorpay,None,inactive,56,645.01,success,0
txn_49ff8ffeeb6c48,cust_8179,41695.56,upi,churn_risk,20,135,0,0,577,desktop,international,razorpay,None,active,60,41695.56,success,0
txn_9433d55d710547,cust_2753,37133.71,debit_card,returning,9,154,0,1,361,mobile,domestic,razorpay,insufficient_funds,inactive,32,37133.71,abandoned,0
txn_38317fd0533844,cust_5533,2252.13,upi,loyal,20,67,0,3,462,tablet,domestic,razorpay,bank_declined,none,0,2725.2,failed,1
txn_b1d294c5347049,cust_7049,29146.35,debit_card,high_value,4,10,0,3,50,desktop,domestic,razorpay,authentication_failed,active,42,29538.61,abandoned,1
txn_764483ac060847,cust_4878,43237.05,debit_card,high_value,0,45,1,1,350,desktop,domestic,razorpay,authentication_failed,none,51,43325.06,failed,0
txn_716d2d11814841,cust_4644,10018.66,net_banking,returning,9,58,0,0,207,desktop,domestic,razorpay,None,active,49,10342.99,success,0
txn_3ebe3776b22f45,cust_9785,16590.94,credit_card,new,8,45,0,0,281,mobile,domestic,razorpay,None,inactive,22,16590.94,success,0
txn_0f7fa3860c374c,cust_9379,5826.51,wallet,loyal,8,11,1,2,11,tablet,international,razorpay,bank_declined,none,43,5826.51,failed,1
txn_338440fbed354d,cust_6409,31176.61,credit_card,returning,16,79,1,0,344,desktop,domestic,razorpay,None,none,8,31512.43,success,0
txn_269d5b3ec6324c,cust_3851,30794.97,upi,high_value,17,0,0,0,225,desktop,domestic,razorpay,None,none,41,30794.97,success,0
txn_341f67ef708243,cust_4501,25583.14,debit_card,new,9,131,1,0,353,mobile,domestic,razorpay,None,active,43,25583.14,pending,0
txn_aa5eedaefaee48,cust_3414,1270.05,debit_card,high_value,19,18,0,0,599,mobile,domestic,razorpay,None,inactive,31,1270.05,success,0
txn_3fed6754789740,cust_1090,44638.36,credit_card,high_value,7,45,2,0,540,desktop,domestic,razorpay,None,active,58,44638.36,success,0
txn_44cf9cd10d6546,cust_8612,33395.51,wallet,churn_risk,10,113,1,0,526,desktop,domestic,razorpay,None,none,28,33395.51,pending,0
txn_9a9a4bbd5bf649,cust_8777,22530.98,debit_card,returning,16,124,1,0,291,desktop,domestic,razorpay,None,inactive,15,22697.64,success,0
txn_aa7d9e31a2d048,cust_3267,7583.99,net_banking,loyal,22,54,0,3,427,desktop,domestic,razorpay,expired_card,inactive,3,7799.86,abandoned,1
txn_a03a03d1b19a4f,cust_7232,23875.14,upi,returning,12,107,0,0,569,tablet,domestic,razorpay,None,inactive,14,24123.1,success,0
txn_53e6bacbf8674c,cust_7624,36222.86,net_banking,loyal,19,136,0,0,413,tablet,domestic,razorpay,None,active,5,36222.86,success,0
